period,oil_price,oil_prod,gs_imp,gs_exp,gs_imp_cvm,gs_exp_cvm,g_imp,g_exp,g_imp_cvm,g_exp_cvm,ind_prod,cpi_index,epu,oil_price_real,gs_imp_def,gs_exp_def,g_imp_def,g_exp_def,oil_price_y_y,oil_prod_y_y,gs_imp_y_y,gs_exp_y_y,gs_imp_cvm_y_y,gs_exp_cvm_y_y,g_imp_y_y,g_exp_y_y,g_imp_cvm_y_y,g_exp_cvm_y_y,ind_prod_y_y,cpi_index_y_y,epu_y_y,oil_price_real_y_y,gs_imp_def_y_y,gs_exp_def_y_y,g_imp_def_y_y,g_exp_def_y_y,oil_price_m_m,oil_prod_m_m,gs_imp_m_m,gs_exp_m_m,gs_imp_cvm_m_m,gs_exp_cvm_m_m,g_imp_m_m,g_exp_m_m,g_imp_cvm_m_m,g_exp_cvm_m_m,ind_prod_m_m,cpi_index_m_m,epu_m_m,oil_price_real_m_m,gs_imp_def_m_m,gs_exp_def_m_m,g_imp_def_m_m,g_exp_def_m_m,oil_price_y_y_m_m,oil_prod_y_y_m_m,gs_imp_y_y_m_m,gs_exp_y_y_m_m,gs_imp_cvm_y_y_m_m,gs_exp_cvm_y_y_m_m,g_imp_y_y_m_m,g_exp_y_y_m_m,g_imp_cvm_y_y_m_m,g_exp_cvm_y_y_m_m,ind_prod_y_y_m_m,cpi_index_y_y_m_m,epu_y_y_m_m,oil_price_real_y_y_m_m,gs_imp_def_y_y_m_m,gs_exp_def_y_y_m_m,g_imp_def_y_y_m_m,g_exp_def_y_y_m_m
2007-10-01,78.61,86197.09,36010,33683,46135,45783,26957,18922,34273,25443,101.34693163711,209.19,82.11964,37.57827812036904,78.05353852823235,73.57097612650983,78.65375076590902,74.37016075148371,49.1650853889943,0.5354920346259602,7.746626372639957,5.38781640123901,5.651865252937,6.752629001795415,9.142070529171221,5.456166750264727,7.146653327914465,3.4310337818610517,3.4192654233503816,3.610698365527485,20.734188228835514,43.966875759060905,1.982701502418306,-1.2784814887635676,1.8623234037463892,1.9579548752019096,8.667403925905441,0.8731910965520029,0.22265516281658781,1.2870245075928433,-1.025464999034604,1.821457165732586,-0.08524833209785025,2.3363980530016226,-1.0451855059910495,2.078234704112337,0.4102231037648637,0.3083237831280243,-36.17985484816847,8.333386330779687,1.2610518067490897,-0.5248723334118817,0.9700762704691948,0.25290734076428173,87.15400278641081,-1613.7067129775805,14.81448572289225,49.73931296949976,-1.7676400813469506,65.56587862404402,21.77781422509605,182.78532814229186,5.929791629745434,296.1882045961143,7.517406980710005,27.41423847728829,-41.547872256308096,92.92014571612111,111.04673353930923,176.99182924223732,161.37575697603367,85.71201313568496
2007-11-01,85.53,85959.33,37083,34700,46750,47036,27838,20016,34600,26351,101.203741961606,210.834,134.32027,40.56746065625089,79.32192513368985,73.7732800408198,80.45664739884393,75.95916663504232,62.29601518026565,0.8876918521286594,8.559969554143857,7.6803723816912335,5.079793211957743,9.492993156105964,9.888288003789523,9.227830832196453,5.868673887766967,5.4124329946395715,2.9516866271092286,4.373267326732675,46.33136819881068,55.49576949834304,3.3119368013660027,-1.6554673702548588,3.7967927323655823,3.6194950910116304,8.802951278463302,-0.2758329776562002,2.979727853374063,3.019327257073301,1.3330443264332936,2.736823711858113,3.26816782282895,5.781629848853187,0.9541038134975054,3.5687615454152417,-0.14128664103686867,0.7858884267890461,63.566559717017746,7.954548971900817,1.6250212730569695,0.27497788524932865,2.292194098029378,2.1366175190456502,26.70783481281359,65.77125236768646,10.499321154515963,42.55074430385222,-10.121827315008593,40.58218145231924,8.162455892647225,69.12662780602753,-17.88220837795189,57.749335586657345,-13.67483182346792,21.119708267123187,123.45397701356148,26.221771595645393,67.04162463822342,29.487003511945886,103.87397402232448,84.86100659691547
2007-12-01,83.21,86491.17,36716,33778,46413,45853,27200,19226,33610,24926,101.558886965761,211.445,91.71973,39.35302324481544,79.10714670458707,73.66584520096832,80.92829515025291,77.13231164246169,51.373476441695466,1.809606252054059,7.303387205190402,6.093347572083674,3.7417018708509353,7.520048773624724,7.040258155916729,5.718684702518421,2.3010896694466427,0.1446364001607071,2.4523799680996214,4.108813392417527,13.856877064996425,45.39929090453005,3.433224315881593,-1.3269164382029317,4.632568921585495,5.565997843443932,-2.712498538524503,0.6187111974930429,-0.9896718172747621,-2.6570605187319885,-0.720855614973262,-2.515094820988179,-2.291831309720526,-3.946842525979217,-2.861271676300578,-5.407764411217791,0.3509208229570583,0.28980145517325956,-31.71564500279816,-2.9936244265471905,-0.2707680489861909,-0.14562838983441348,0.5862135282258323,1.5444416512044201,-17.533286369864413,103.85522833342173,-14.679752550581753,-20.663383632163068,-26.34145299373535,-20.78316448813857,-28.802051950563467,-38.02785501262563,-60.790295841055695,-97.32770086384525,-16.915977950498405,-6.047056229529067,-70.09180258710312,-18.193240106553425,3.6621325161025253,-19.84641545676293,22.012689344229344,53.778295134757705
2008-01-01,84.82,86583.46,37830,34164,46402,45955,28065,19731,33847,25245,102.139461210004,212.174,139.5479,39.97662296040043,81.52665833369251,74.34229137199434,82.9172452506869,78.15805109922756,71.11155941093402,2.1844264316872986,12.652988296953636,10.298960418415446,4.497241301655219,8.789830026987358,12.9012792662322,12.273813588255377,3.5203082945926103,3.0534351145038165,3.230989289172194,4.29469565516597,104.46246222222612,64.0654477545891,7.804748617004142,1.3871980414471796,9.061961972663077,8.947182074529277,1.934863598125225,0.10670453411603537,3.034099575117115,1.1427556397655279,-0.023700256393682805,0.22245000327132358,3.180147058823529,2.6266514095495683,0.7051472775959535,1.2797881729920566,0.5716626694015734,0.3447705076970434,52.145999557565204,1.5846297543788923,3.0585247097088724,0.9182629605084927,2.4576695910142132,1.3298440496903274,38.4207656097395,20.712803086737036,73.24821951054923,69.01974319665511,20.19240059423706,16.885279492018363,83.2500880012445,114.62651338078105,52.98440305627727,2011.111111111111,31.74913068939827,4.523988923212554,653.8672799956249,41.11552510657496,127.32999358359771,-204.54298413288842,95.61418569379047,60.74713512632724
2008-02-01,87.41,86661.42,38195,34824,46460,46148,28326,20408,33965,25796,102.097914436179,212.687,132.74403,41.09795144978301,82.21050365906156,75.46155846407213,83.39761519210953,79.11304078151652,62.56276734238422,1.9546717380422005,11.985809364646553,13.263513953034542,3.0520805607310795,9.1898542494794615,11.392504620708639,16.92448722355907,2.3257915825625886,6.7759427128606315,2.628111980604635,4.142959270611976,162.60528423181682,56.09578264428836,8.669139677049602,3.730804232275557,8.860633177541061,9.504523446812057,3.053525112001891,0.09004029176010273,0.964842717420037,1.9318580962416578,0.12499461230119392,0.41997606354042,0.9299839657936931,3.431148953423547,0.34862764794516504,2.1826104179045354,-0.040676515553163206,0.24178268779398285,-4.875652016261076,2.804960515282486,0.8387996507474124,1.505559045089419,0.5793365903200257,1.2218698763055413,-12.021663059234431,-10.517849917592807,-5.272896146341291,28.78497842673727,-32.134382924755336,4.55098928265861,-11.69476773882902,37.89102386037417,-33.93216196049835,121.91212384618571,-18.659217181187906,-3.5331114644055166,55.659057591330495,-12.43988044980121,11.075194121719923,168.94532149017707,-2.221691017125854,6.229239191067902
2008-03-01,96.96,86885.51,37956,34939,45719,45559,28197,20389,33547,25453,101.510354252163,213.448,217.76996,45.42558374873505,83.02018854305649,76.68956737417415,84.05222523623573,80.1045063450281,72.18966435801809,2.366473712759601,8.004439006345503,10.332522815549309,-1.440058637118158,4.101544648569601,6.778505699246412,11.738915986189511,-2.4427836100852067,0.4181954471929617,1.699238546689684,3.974903550134443,445.99682485876843,65.60694790641664,9.58249113469999,5.985480991674536,9.452185753718254,11.273574961770551,10.925523395492503,0.25858103871364735,-0.6257363529257756,0.330232023891569,-1.5949203616013776,-1.2763283349224235,-0.4554119889853845,-0.09310074480595845,-1.2306786397762404,-1.329663513723058,-0.5754869600037524,0.35780278061188303,64.05254533857378,10.53004382527414,0.9848922558032358,1.6273304383008267,0.784926574480916,1.2532264639526054,15.387581823146057,21.06757706180689,-33.21736761511103,-22.098149463737364,-147.1828514504615,-55.36877367993161,-40.5003032702323,-30.639458489183575,-205.03020255124125,-93.82823224878756,-35.34375402456216,-4.056417393953967,174.2818764874436,16.955223394314643,10.535664341276748,60.43406780483272,6.676188533304756,18.6127323990332
2008-04-01,104.72,86415.28,39011,36220,46065,46395,29460,21460,34299,26401,101.721993873854,213.942,115.20672,48.94784567780053,84.68685553022902,78.06875740920358,85.89171695967812,81.2847998181887,73.23407775020677,1.3077882769630875,14.795633110672984,12.320525940397555,3.398352450001122,4.58746618575293,17.225737137400024,15.812196438208312,5.350615842983076,2.7556143696726734,2.01727715939662,3.903760975988816,105.65037869057974,66.7255122653737,11.022690778543197,7.393868535748162,11.271999882863415,12.706441539596455,8.003300330033008,-0.5412064681441082,2.7795341974918326,3.6663899939895246,0.7567969553139833,1.8349832085866677,4.479199914884562,5.252832409632645,2.241631144364623,3.72451184536204,0.2084906739319122,0.23143810202016407,-47.0970559943162,7.753916710346209,2.0075442087296094,1.7984063312031309,2.188510438923359,1.4734420409219102,1.4467630532384799,-44.7368348141064,84.84284906092451,19.240249069244932,-335.9870884703624,11.84728142244636,154.12292770241476,34.69894883659527,-319.0376511817369,558.9297870574835,18.716537082242656,-1.7897937207362133,-76.31140564194924,1.7049480194576443,15.029491012289842,23.5300646018693,19.25283925391851,12.709957424196405
2008-05-01,116.55,87152.63,38865,36603,45059,45994,29449,21670,33578,26008,100.57072210017,215.208,120.26247,54.15690866510539,86.25357864133692,79.58211940687916,87.70325808565131,83.3205167640726,89.35824532900082,2.5862852337649036,12.914003486345148,12.867715078630898,0.5579236314133321,4.0588235294117645,15.613222361809045,17.957650645038374,2.2628292980051774,2.6564041839352672,0.1232719605653807,4.088413823123989,131.2545464929197,81.92057922102136,12.28752485007746,8.46529996250568,13.054981126034892,14.905301410798497,11.296791443850266,0.8532634506304971,-0.37425341570326315,1.0574268360022088,-2.183870617605557,-0.864317275568488,-0.0373387644263408,0.97856477166822,-2.1021021021021022,-1.4885799780311353,-1.1317825475498446,0.5917491656617172,4.38841588407342,10.642067930003595,1.8500192282480576,1.9384988923842696,2.1090987467669566,2.5044251206095347,22.017301335850487,97.76023988918978,-12.717466094576938,4.4412806797409,-83.58252595568338,-11.523630582454114,-9.361078499740563,13.568350325106154,-57.7089934241363,-3.6002927996485536,-93.8891906850196,4.730126876899789,24.234809301845825,22.77249951295306,11.474821320365743,14.490809805142202,15.81778975958034,17.305079981282283
2008-06-01,126.22,87098.23,40826,37077,46718,45997,31362,22068,35217,25943,100.226084029284,217.463,134.12222,58.042057729360856,87.38815873967208,80.60743091940779,89.05358207683788,85.06340824114405,93.47026364193748,2.5359141986520086,15.877611262488648,12.09299513256946,1.4748365516192792,2.832550860719875,19.415146784449604,17.81538625807485,3.2998944033790916,0.9337431428237949,-0.0647959301461805,4.935966105947858,183.40352448245164,84.36983126128708,14.193444601946045,9.00536279061313,15.60045387669182,16.72547018430011,8.296868296868299,-0.06241922934512559,5.0456709121317385,1.2949758216539629,3.681839366164362,0.00652258990303083,6.495976094264661,1.8366405168435624,4.881172196080767,-0.24992310058443556,-0.34268230722529897,1.0478235009850914,11.524584519177102,7.173875245133334,1.3154006085394092,1.288369196711796,1.5396508871629824,2.091791487571497,4.601722312022747,-1.9476210301664572,22.94879182336541,-6.020648897860638,164.34380416603312,-30.21251502574221,24.350671082097136,-0.7922215983349261,45.83046128526578,-64.84935732029592,-152.5633971010092,20.73058940438295,39.73117837281547,2.9897884799589223,15.511014424166714,6.379724646491964,19.498095984073228,12.21155294573882
2008-07-01,127.77,88093.29,40485,37579,45839,46512,30860,22489,34205,26346,99.7428279369646,219.016,123.12396,58.33820360156335,88.31998952856738,80.79420364637083,90.22072796374799,85.36020648295757,80.59363957597172,3.123800479930943,13.143479961992064,13.4494626252868,-1.7911087305838242,4.195882524250096,14.977645305514159,21.1300226219972,-1.5655126766237877,3.70399527652037,-0.6621840149771981,5.497512078341826,304.09848763325107,71.18284215258458,15.206961915093697,8.880946038230517,16.806262146508146,16.803621981015667,1.2280145777214364,1.1424572003357563,-0.8352520452652721,1.3539390997114114,-1.8815017766171498,1.119638237276344,-1.6006632230087365,1.9077397136124705,-2.8736121759377573,1.5534055429210192,-0.4821659920168051,0.7141444751520936,-8.200177420266384,0.5102263492851452,1.0663124184492845,0.23170658688996007,1.3106108251805753,0.3489141194203431,-13.77617176227625,23.182420035797406,-17.220041826795786,11.216968814152873,-221.44455794896714,48.13088027601167,-22.855873963773604,18.60547010267592,-147.44129615240726,296.68246080167944,921.9530971826503,11.37661726885245,65.80842079855871,-15.629981607837248,7.1407423748896734,-1.3815851207271825,7.7293153093314135,0.4672621807003996
